Tasa de fertilidad,Tasa de fertilidad(A: +1.13 to +1.27),Tasa de fertilidad(A: +1.13 to +1.27),Tasa de fertilidad(A: +1.13 to +1.27),Tasa de fertilidad(B: +1.27 to +1.38),Tasa de fertilidad(B: +1.27 to +1.38),Tasa de fertilidad(B: +1.27 to +1.38),Tasa de fertilidad(C: +1.38 to +2.77),Tasa de fertilidad(C: +1.38 to +2.77),Tasa de fertilidad(C: +1.38 to +2.77)
Tasa de mortalidad,"Tasa de mortalidad(A: +286,655.00 to +331,515.00)","Tasa de mortalidad(B: +331,515.00 to +384,828.00)","Tasa de mortalidad(C: +384,828.00 to +493,776.00)","Tasa de mortalidad(A: +286,655.00 to +331,515.00)","Tasa de mortalidad(B: +331,515.00 to +384,828.00)","Tasa de mortalidad(C: +384,828.00 to +493,776.00)","Tasa de mortalidad(A: +286,655.00 to +331,515.00)","Tasa de mortalidad(B: +331,515.00 to +384,828.00)","Tasa de mortalidad(C: +384,828.00 to +493,776.00)"
Tasa de crecimiento de la población(A: -0.33 to +0.41),0.3333333333333333,0.12333333333333332,0.3333333333333333,0.1754385964912281,0.3333333333333333,0.63003663003663,0.3333333333333333,0.3333333333333333,0.1754385964912281
Tasa de crecimiento de la población(B: +0.41 to +0.71),0.3333333333333333,0.7533333333333333,0.3333333333333333,0.6491228070175439,0.19270833333333331,0.03663003663003663,0.271264367816092,0.3333333333333333,0.1754385964912281
Tasa de crecimiento de la población(C: +0.71 to +1.85),0.3333333333333333,0.12333333333333332,0.3333333333333333,0.1754385964912281,0.4739583333333333,0.3333333333333333,0.3954022988505747,0.3333333333333333,0.6491228070175439
