PIB,PIB(1_ALTO),PIB(2_MEDIO),PIB(3_BAJO)
GSS(1_ALTO),0.20430107526881724,0.22619047619047622,0.4954954954954955
GSS(2_MEDIO),0.30107526881720437,0.33333333333333337,0.3333333333333333
GSS(3_BAJO),0.4946236559139785,0.44047619047619047,0.1711711711711712
