GSS,GSS(1_ALTO),GSS(2_MEDIO),GSS(3_BAJO)
RTM(1_ALTO),0.6881720430107527,0.7849462365591399,0.27450980392156865
RTM(2_MEDIO),0.20430107526881724,0.10752688172043012,0.6274509803921569
RTM(3_BAJO),0.10752688172043012,0.10752688172043012,0.09803921568627452
