RTE,RTE(1_ALTO),RTE(1_ALTO),RTE(1_ALTO),RTE(2_MEDIO),RTE(2_MEDIO),RTE(2_MEDIO),RTE(3_BAJO),RTE(3_BAJO),RTE(3_BAJO)
RTU,RTU(1_ALTO),RTU(2_MEDIO),RTU(3_BAJO),RTU(1_ALTO),RTU(2_MEDIO),RTU(3_BAJO),RTU(1_ALTO),RTU(2_MEDIO),RTU(3_BAJO)
RTP(1_ALTO),0.43223443223443225,0.8198198198198199,0.3333333333333333,0.19270833333333331,0.1689497716894977,0.3333333333333333,0.3333333333333333,0.06060606060606061,0.3333333333333333
RTP(2_MEDIO),0.43223443223443225,0.0900900900900901,0.3333333333333333,0.4739583333333333,0.2922374429223744,0.3333333333333333,0.3333333333333333,0.3878787878787879,0.3333333333333333
RTP(3_BAJO),0.13553113553113552,0.0900900900900901,0.3333333333333333,0.3333333333333333,0.5388127853881278,0.3333333333333333,0.3333333333333333,0.5515151515151515,0.3333333333333333
