INB,INB(1_ALTO),INB(1_ALTO),INB(1_ALTO),INB(2_MEDIO),INB(2_MEDIO),INB(2_MEDIO),INB(3_BAJO),INB(3_BAJO),INB(3_BAJO)
RTP,RTP(1_ALTO),RTP(2_MEDIO),RTP(3_BAJO),RTP(1_ALTO),RTP(2_MEDIO),RTP(3_BAJO),RTP(1_ALTO),RTP(2_MEDIO),RTP(3_BAJO)
PIB(1_ALTO),0.22424242424242424,0.3333333333333333,0.3878787878787879,0.22424242424242424,0.5515151515151515,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
PIB(2_MEDIO),0.22424242424242424,0.19270833333333331,0.22424242424242424,0.5515151515151515,0.22424242424242424,0.4739583333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
PIB(3_BAJO),0.5515151515151515,0.4739583333333333,0.3878787878787879,0.22424242424242424,0.22424242424242424,0.19270833333333331,0.3333333333333333,0.3333333333333333,0.3333333333333333
